nohup: ignoring input
Head parameter counts at d=4:
  rank=0     8 params (VQC: 24)
  rank=1    16 params (VQC: 24)
  rank=2    24 params (VQC: 24)  <-- matches VQC exactly
  rank=4    40 params (VQC: 24)
  rank=8    72 params (VQC: 24)

Capacity sweep | 1000 cells | classical only, cached features
  device=cuda sha=ec5cae63
[77/1000] breastmnist n=10 s=31337 rank=1 auc=0.7235 f1=0.6265 ETA 0.1h
[78/1000] breastmnist n=10 s=31337 rank=2 auc=0.7183 f1=0.5305 ETA 0.1h
[79/1000] breastmnist n=10 s=31337 rank=4 auc=0.7183 f1=0.5305 ETA 0.1h
[80/1000] breastmnist n=10 s=31337 rank=8 auc=0.7487 f1=0.6233 ETA 0.1h
[81/1000] breastmnist n=10 s=8 rank=0 auc=0.7153 f1=0.6523 ETA 0.1h
[82/1000] breastmnist n=10 s=8 rank=1 auc=0.6727 f1=0.6300 ETA 0.1h
[83/1000] breastmnist n=10 s=8 rank=2 auc=0.7130 f1=0.5218 ETA 0.1h
[84/1000] breastmnist n=10 s=8 rank=4 auc=0.7218 f1=0.5610 ETA 0.1h
[85/1000] breastmnist n=10 s=8 rank=8 auc=0.7458 f1=0.6513 ETA 0.1h
[86/1000] breastmnist n=10 s=271828 rank=0 auc=0.7053 f1=0.5715 ETA 0.1h
[87/1000] breastmnist n=10 s=271828 rank=1 auc=0.6965 f1=0.5135 ETA 0.1h
[88/1000] breastmnist n=10 s=271828 rank=2 auc=0.6896 f1=0.5388 ETA 0.1h
[89/1000] breastmnist n=10 s=271828 rank=4 auc=0.7066 f1=0.6525 ETA 0.1h
[90/1000] breastmnist n=10 s=271828 rank=8 auc=0.6270 f1=0.5886 ETA 0.1h
[91/1000] breastmnist n=10 s=161803 rank=0 auc=0.7020 f1=0.6096 ETA 0.1h
[92/1000] breastmnist n=10 s=161803 rank=1 auc=0.6665 f1=0.6513 ETA 0.1h
[93/1000] breastmnist n=10 s=161803 rank=2 auc=0.6769 f1=0.5212 ETA 0.1h
[94/1000] breastmnist n=10 s=161803 rank=4 auc=0.6775 f1=0.5341 ETA 0.1h
[95/1000] breastmnist n=10 s=161803 rank=8 auc=0.7059 f1=0.6410 ETA 0.1h
[96/1000] breastmnist n=10 s=1414 rank=0 auc=0.6358 f1=0.4222 ETA 0.1h
[97/1000] breastmnist n=10 s=1414 rank=1 auc=0.7074 f1=0.6142 ETA 0.1h
[98/1000] breastmnist n=10 s=1414 rank=2 auc=0.6562 f1=0.5553 ETA 0.1h
[99/1000] breastmnist n=10 s=1414 rank=4 auc=0.6527 f1=0.5678 ETA 0.1h
[100/1000] breastmnist n=10 s=1414 rank=8 auc=0.6351 f1=0.6104 ETA 0.1h
[101/1000] breastmnist n=20 s=42 rank=0 auc=0.7513 f1=0.6860 ETA 0.1h
[102/1000] breastmnist n=20 s=42 rank=1 auc=0.7487 f1=0.6752 ETA 0.1h
[103/1000] breastmnist n=20 s=42 rank=2 auc=0.7590 f1=0.7166 ETA 0.1h
[104/1000] breastmnist n=20 s=42 rank=4 auc=0.7554 f1=0.6892 ETA 0.1h
[105/1000] breastmnist n=20 s=42 rank=8 auc=0.7540 f1=0.6286 ETA 0.1h
[106/1000] breastmnist n=20 s=123 rank=0 auc=0.7498 f1=0.7043 ETA 0.1h
[107/1000] breastmnist n=20 s=123 rank=1 auc=0.7648 f1=0.6762 ETA 0.2h
[108/1000] breastmnist n=20 s=123 rank=2 auc=0.7673 f1=0.4266 ETA 0.2h
[109/1000] breastmnist n=20 s=123 rank=4 auc=0.7678 f1=0.4266 ETA 0.2h
[110/1000] breastmnist n=20 s=123 rank=8 auc=0.7274 f1=0.6615 ETA 0.2h
[111/1000] breastmnist n=20 s=2026 rank=0 auc=0.7247 f1=0.6041 ETA 0.2h
[112/1000] breastmnist n=20 s=2026 rank=1 auc=0.6999 f1=0.5218 ETA 0.2h
[113/1000] breastmnist n=20 s=2026 rank=2 auc=0.7377 f1=0.5249 ETA 0.2h
[114/1000] breastmnist n=20 s=2026 rank=4 auc=0.7352 f1=0.3590 ETA 0.2h
[115/1000] breastmnist n=20 s=2026 rank=8 auc=0.7026 f1=0.4421 ETA 0.2h
